entity_a,entity_b,oracion,doc_id,fecha,triple_sujeto,triple_verbo,triple_objeto,tipo_sugerido,tipo_gold
Keiko Fujimori,Estado,"Elecciones 2026: hoy es el debate presidencial entre Keiko Fujimori y Roberto Sánchez Durante su participación en el bloque temático Fortalecimiento del Estado Democrático y Derechos Humanos en el Debate Presidencial 2026 que organiza el Jurado Nacional de Elecciones (JNE), Sánchez sostuvo que la población debe recuperar el derecho al referéndum y convocó a las fuerzas democráticas a respaldar dicha iniciativa.",andina:1077466,2026-05-31,,,,alianza,
Roberto Sánchez,Ley,"De acuerdo con la tesis fiscal, Chávez, Huerta y Sánchez habrían acordado junto al expresidente Pedro Castillo y terceras personas disolver el Congreso y reorganizar el sistema de justicia.",andina:944504,2023-06-20,Chávez,,expresidente,acusacion,
Roberto Sánchez,Pedro Castillo,"Palabras finales En su alocución final, Sánchez señaló que la ruta castillista es la reafirmación de la dignidad de los pueblos que quieren un nuevo comienzo patriótico, un nuevo régimen económico para los peruanos quechuas, aymaras y amazónicos; y que buscan liberar al expresidente Castillo.",andina:1068345,2026-03-24,,,,mencion,
Congreso,Consejo de Ministros,"El pasado 22 de marzo, el pleno del Congreso de la República aprobó acusar constitucionalmente a la expresidenta del Consejo de Ministros por la presunta comisión de los delitos de rebelión y conspiración.",andina:937173,2023-04-19,pleno,,,acusacion,
Pedro Castillo,Ley,"Según la investigación fiscal, esa mañana se realizó una reunión en Palacio de Gobierno, entre Betssy Chavez, el exasesor Aníbal Torres , terceras personas en proceso de identificación, y Pedro Castillo, donde habrían ratificado la disolución del Congreso e implementar un estado de excepción.",andina:992844,2024-07-11,,,,acusacion,
Roberto Sánchez,Comercio Exterior y Turismo,"Según lo dispuesto, el nuevo equipo ministerial quedó conformado de la siguiente manera: Presidenta del Consejo de Ministros Betssy Chávez Chino Ministerio de Relaciones Exteriores César Rodrigo Landa Arroyo Ministerio de Defensa Daniel Hugo Barragán Coloma Ministerio de Economía y Finanzas Kurt Johnny Burneo Farfán Ministerio del Interior Willy Arturo Huerta Olivas Ministerio de Justicia y Derechos Humanos Félix Inocente Chero Medina Ministerio de Educación Rosendo Leoncio Serna Román Ministerio de Desarrollo Agrario y Riego Juan Rodo Altamirano Quispe Ministerio de Salud Kelly Roxana Portalatino Ávalos Ministerio de Trabajo y Promoción del Empleo Alejandro Antonio Salas Zegarra Ministerio de la Producción Eduardo Mora Asnarán También lea: [ Presidente Castillo juramenta a ministros de Estado en Palacio de Gobierno ] Ministerio de Comercio Exterior y Turismo Roberto Helbert Sánchez Palomino Ministerio de Energía y Minas Oliverio Muñoz Cabrera Ministerio de Transportes y Comunicaciones Richard Washington Tineo Quispe Ministerio de Vivienda, Construcción y Saneamiento César Paniagua Chacón Ministerio de la Mujer y Poblaciones Vulnerables Heidy Lizbeth Juárez Calle Ministerio del Ambiente Wilbert Gabriel Rozas Beltrán Ministerio de Cultura Silvana Emperatriz Robles Araujo Ministerio de Desarrollo e Inclusión Social Cinthya Karina Lindo Espinoza (FIN) JCC GRM Publicado: 26/11/2022",andina:919378,2022-11-26,equipo,,conformado,ruptura,
Comercio Exterior y Turismo,Estado,"Resolución Ministerial N° 00611-2026-DE Se autorizó el viaje, en comisión especial en el exterior, del general de brigada EP Julio Ulises Mori Rabanal, para desempeñarse en el cargo de Jefe de la Delegación del Perú ante la Junta Interamericana de Defensa (JID), Consejero en Temas de Seguridad Hemisférica y Miembro de la Representación Permanente del Perú ante la Organización de los Estados Americanos (OEA); en la ciudad de Washington D.C., Estados Unidos de América.",andina:1076501,2026-05-25,Resolución,,ciudad,pertenencia,
Roberto Sánchez,Fuerza Popular,Lee también: [ Presidenta Boluarte: Simulacro Nacional Multipeligro 2024 ha sido fructífero ] Conoce a continuación quiénes integran la Comisión Permanente para el periodo anual de sesiones 2024-2025: Fuerza Popular (5 integrantes) -Alejandro Aguinaga Recuenco -Arturo Alegría García -Martha Moyano Delgado -César Revilla Villanueva -Héctor Ventura Ángel Alianza para el Progreso (3) -Alejandro Soto Reyes -María Acuña Peralta -Lady Camones Soriano Podemos Perú (3) -José Luna Gálvez -Digna Calle Lobatón -Ariana Orué Medina Perú Libre (2) -Flavio Cruz Mamani -Américo Gonza Castillo Renovación Popular (2) -Esdras Medina Minaya -Norma Yarrow Lumbreras Acción Popular (2) -Silvia Monteza Facho -Wilson Soto Palacios Avanza País (2) -José Williams Zapata -Patricia Chirinos Venegas Juntos por el Perú-Voces del Pueblo (2) -Roberto Sánchez Palomino -Víctor Cutipa Ccama Somos Perú (2) -José Jerí Oré -Héctor Valer Bloque Magisterial (2) -Segundo Quiroz Barboza -Lucinda Vásquez Vela Bancada Socialista (1) -Alex Flores Ramírez Honor y Democracia (1) -Jorge Montoya Manrique Bloque Democrático Popular (1) -Ruth Luque Ibarra (FIN) MCA/RMCH GRM Publicado: 18/8/2024,andina:997044,2024-08-18,,,,ruptura,
Congreso,Comercio Exterior y Turismo,"También lea: [ Congreso autoriza viaje del presidente a Chile, pero deniega su salida a México ] Por su parte, el ministro de Trabajo y Promoción del Empleo, Alejandro Salas, afirmó que la prohibición del viaje a México del presidente aísla al país del mundo y perjudica la política exterior.",andina:918298,2022-11-17,ministro,,,ruptura,
Congreso,Ley,"“Por ello, la bancada de Somos Perú ha decidido apoyar el pedido de vacancia contra Dina Boluarte, teniendo en consideración que hemos reservado nuestra posición hasta ahora, debido a que el actual presidente del Congreso, forma parte del grupo parlamentario”, indicó también Somos Perú en sus redes sociales.",andina:1047813,2025-10-09,,,redes,alianza,
Roberto Sánchez,may,"Los egresados de esta edición pertenecen a diversas universidades del país, entre ellas: la Universidad Nacional de Cajamarca (2), Universidad Nacional José Faustino Sánchez Carrión (2), Universidad Nacional Mayor de San Marcos (1), Universidad Nacional Federico Villarreal (1), Universidad Nacional de Moquegua (1), Universidad Nacional de Piura (1), Universidad Nacional de San Agustín (1), Universidad Nacional de Trujillo (1), Universidad Nacional del Altiplano (1) y la Universidad Nacional del Centro del Perú (1).",andina:1072930,2026-04-27,egresados,,universidades,pertenencia,
Roberto Sánchez,Consejo de Ministros,"Participaron la ministra de la Mujer y Poblaciones Vulnerables, Claudia Dávila Moscoso; el ministro de Comercio Exterior y Turismo, Roberto Sánchez Palomino; el ministro de Justicia y Derecho Humanos, Félix Chero Medina; el presidente del Consejo Nacional para la Integración de la Persona con Discapacidad (Conadis), Marco Antonio Gamarra La Barrera; entre otras autoridades.",andina:914122,2022-10-16,,,autoridades,pertenencia,
Congreso,Ley,"Congreso: Comisión de Ciencia recibió al presidente del JNE por aplicación de voto digital
El presidente del Jurado Nacional de Elecciones (JNE), Roberto Burneo Bermejo, se presentó hoy en la Comisión de Ciencia, Innovación y Tecnología del Congreso de la República para informar sobre los avances y principales riesgos que enfrenta la implementación del programa piloto del voto digital en el Perú.",andina:1043166,2025-09-01,Congreso,,Comisión,conflicto,
Lima,Libertad,"Arequipa, Ayacucho, La Libertad y Pasco son las regiones que cuentan con más localidades distinguidas como Pueblos con Encanto (2 en cada caso), mientras que Áncash, Cusco, Lima y San Martín cuentan con una localidad.",andina:1073306,2026-05-01,,,,mencion,
Roberto Sánchez,Fuerza Popular,Estas con las candidaturas: [ Lea también: Elecciones 2026: ONPE señala que no utilizará voto digital en próximos comicios ] 1- Fuerza Popular Presidencia: Keiko Fujimori Higuchi Primera vicepresidencia: Luis Galarreta Velarde Segunda vicepresidencia: Miguel Torres Morales 2- Libertad Popular Presidencia: Rafael Jorge Belaunde Llosa Primera vicepresidencia: Pedro Álvaro Cateriano Bellido Segunda vicepresidencia: Tania Ulrika Porles Bazalar 3- Podemos Perú Presidencia: José Luna Gálvez Primera vicepresidencia: Jaqueline Cecilia García Rodríguez Segunda vicepresidencia: Raúl Martin Noblecilla Olaechea 4- Ahora Nación Presidencia: Alfonso López Chau Nava Primera vicepresidencia: Luis Alberto Villanueva Carbajal Segunda vicepresidencia: Ruth Zenaida Buendia Mestoquiari 5- Unidad Nacional Presidencia: Roberto Enrique Chiabra León Primera vicepresidencia: Javier Ignacio Bedoya Denegri Segunda vicepresidencia: Neldy Roxana Mendoza Flores 6- Partido Patriótico del Perú Presidencia: Herbert Caller Gutiérrez Primera vicepresidencia: Rossana Elena Montes Tello Segunda vicepresidencia: Jorge Aquiles Carcovich Cortelezzi 7- Partido Demócrata Verde Presidencia: Alex González Castillo Primera vicepresidencia: Maritza del Carmen Sánchez Peralta Segunda vicepresidencia: Félix Medardo Murazzo Carrillo 8- Un Camino Diferente Presidencia: Rosario del Pilar Fernández Bazán Primera vicepresidencia: César Arturo Fernández Bazán Segunda vicepresidencia: Carlos Danilo Pinillos Vinces 9- Renovación Popular Presidencia: Rafael López Aliaga Cazorla Primera vicepresidencia: Norma Yarrow Lumbreras Segunda vicepresidencia: Jhon Ramos Malpica 10- Partido del Buen Gobierno Presidencia: Jorge Nieto Montesinos Primera vicepresidencia: Susana Matute Charun Segunda vicepresidencia: Carlos Caballero León 11- Alianza para el Progreso Presidencia: César Acuña Peralta Primera vicepresidencia: Jessica Tumi Rivas Segunda vicepresidencia: Alejandro Soto Reyes 12- Partido SiCreo Presidencia: Carlos Espá Y Garcés-Alvear Primera Vicepresidencia: Alejandro Agustín Santa María Silva Segunda vicepresidencia: Melitza Melania Yanzich Villagarcia 13- Partido País para Todos Presidencia: Carlos Gonsalo Álvarez Loayza Primera vicepresidencia: María Cristina Chambizea Reyes Segunda vicepresidencia: Diego Edgar Guevara Vivanco 14- Avanza País – Partido de Integración Social Presidencia: José Williams Zapata Primera vicepresidencia: Fernán Altuve-Febres Lores Segunda vicepresidencia: Adriana Tudela Gutiérrez 15- Juntos por el Perú Presidencia: Roberto Helbert Sánchez Palomino Primera vicepresidencia Analí Márquez Huanca Segunda vicepresidencia: Brígida Curo Bustincio 16- Salvemos al Perú Presidencia: Antonio Ortiz Villano Primera vicepresidencia: Jaime José Freundt López Segunda vicepresidencia: Giovanna Ángela Demurtas Moya 17- Alianza Electoral Venceremos Presidencia: Ronald Darwin Atencio Sotomayor Primera vicepresidencia Elena Carmen Rivera Huamán Segunda vicepresidencia: Alberto Eugenio Quintanilla Chacón 18- Partido Político Perú Acción Presidencia: Francisco Ernesto Diez-Canseco Távara Primera vicepresidencia: Roberto Diego Koster Jáuregui Segunda vicepresidencia: Clara Amelia Quispe Torres 19- Partido Político Integridad Democrática Presidencia: Wolfgang Mario Grozo Costa Primera vicepresidencia: Bertha Cecilia Azabache Miranda Segunda vicepresidencia: Wellington Prada Chipayo 20- Partido Cívico Obras Presidencia: Ricardo Pablo Belmont Cassinelli Primera vicepresidencia: Daniel Hugo Barragán Coloma Segunda vicepresidencia: Dina Irene Hancco Hancco [Lea también: Elecciones 2026: ONPE señala que no utilizará voto digital en próximos comicios ] 21- Perú Moderno Presidencia: Carlos Ernesto Jaico Carranza Primera vicepresidencia: Miguel Elías Almenara Huayta Segunda vicepresidencia: Liz Veronica Quispe Santos 22- Partido Democrático Federal Presidencia: Armando Joaquín Masse Fernández Primera vicepresidencia: Virgilio Acuña Peralta Segunda vicepresidencia: Lydia Lourdes Díaz Pablo 23- Partido Aprista Peruano Presidencia: Pitter Enrique Valderrama Peña Primera vicepresidencia: María Inés Valdivia Acuña Segunda vicepresidencia: Lucio Vásquez 24- Partido Político Cooperación Popular Presidencia: Yonhy Lescano Ancieta Primera vicepresidencia: Carmela Silene Salazar Jauregui Segunda vicepresidencia: Vanessa Rubith Lazo Valles 25- Partido Frente de la Esperanza 2021 Presidencia Luis Fernando Olivera Vega Primera vicepresidencia: Elizabeth León Chinchay Segunda vicepresidencia: Carlos Ricardo Cuaresma Sánchez 26- Partido Demócrata Unido Perú Presidencia: Charlie Carrasco Salazar Primera vicepresidencia: María Edith Paredes Verdy Segunda vicepresidencia: Wilbert Gabino Segovia Quin 27- Fuerza y Libertad Presidencia: Fiorella Giannina Molinelli Aristondo Primera vicepresidencia: Gilbert Félix Violeta López Segunda vicepresidencia: María Luz Pariona Ore 28- Partido Democrático Somos Perú Presidencia: George Patrick Forsyth Sommer Primera vicepresidencia: Johanna Gabriela Lozada Baldwin Segunda vicepresidencia: Herbe Olave Ugarte 29- Partido Político Perú Primero Presidencia: Mario Enrique Vizcarra Cornejo Primera vicepresidencia: Carlos Hernán Illanes Calderón Segunda vicepresidencia: Judith Carla Mendoza Díaz 30- Partido Político Nacional Perú Libre Presidencia: Vladimir Roy Cerrón Rojas Primera vicepresidencia: Flavio Cruz Mamani Segunda vicepresidencia: Bertha Rojas López 31- Progresemos Presidencia: Paul Davis Jaimes Blanco Primera vicepresidencia: Mónica Margot Guillen Tuanama Segunda vicepresidencia: Jorge Luis Caloggero Encina 32- Partido Morado Presidencia: Mesías Antonio Guevara Amasifuen Primera vicepresidencia: Heber Diomedes Cueva Escobedo Segunda vicepresidencia: Marisol Yolanda Liñan Solis 33- Partido Político PRIN Presidencia: Walter Gilmer Chirinos Purizaga Primera vicepresidencia Julio Alberto Vega Ybañez Segunda vicepresidencia Mayra Lizeth Vargas Gil 34- Partido de los Trabajadores y Emprendedores PTE – Perú Presidencia: Napoleón Becerra García Primera vicepresidencia: Wilson Clemente Segunda vicepresidencia: Nélida Cuayla 35.,andina:1056810,2025-12-24,,,,nombramiento,
Roberto Sánchez,Ley,"MP presenta denuncia constitucional contra congresistas Guido Bellido y Roberto Sánchez
La Fiscalía de la Nación, a través del Área de Enriquecimiento Ilícito y Denuncias Constitucionales, presentó una denuncia constitucional ante el Congreso de la República, en contra de Guido Bellido Ugarte, como presunto autor del delito de tráfico de influencias agravado, en agravio del Estado.",andina:1015925,2025-01-22,MP,,denuncia,acusacion,
Roberto Sánchez,Comercio Exterior y Turismo,"La Comisión Permanente también aprobó archivar la acusación constitucional contra el exministro de Comercio Exterior y Turismo, y actual congresista, Roberto Sánchez Palomino, según una de las conclusiones del informe final, las cuales fueron votadas por separado.",andina:1052655,2025-11-20,Comisión,,archivar,acusacion,
Comercio Exterior y Turismo,José Reyes,"Las agroexportaciones peruanas superarían los 16,000 millones de dólares en 2026, consolidando al país como uno de los principales proveedores globales de alimentos, señaló hoy el ministro de Comercio Exterior y Turismo, José Reyes Llanos.",andina:1073057,2026-04-28,,,,mencion,
Consejo de Ministros,Ley,"Presidente Pedro Castillo lideró primer Consejo de Ministros
El Presidente de la República, Pedro Castillo Terrones, lideró en Palacio de Gobierno la primera sesión del Consejo de Ministros de su gestión.",andina:856238,2021-08-04,Presidente,,Consejo,pertenencia,
Congreso,Ley,"Elecciones 2026: conoce a las candidatas a la vicepresidencia de Roberto Sánchez
El candidato de Juntos por el Perú (JPP), Roberto Helbert Sánchez Palomino, disputará la Presidencia de la República en la segunda elección presidencial del próximo 7 de junio, junto a Analí Márquez y Brígida Curo como integrantes de su plancha presidencial.",andina:1075507,2026-05-17,,,,nombramiento,
Congreso,Ley,"Partido de los Trabajadores y Emprendedores (PTE - Perú) Su fórmula presidencial está liderada por Napoleón Becerra García como candidato a la Presidencia de la República; Wilson Clemente Huamán, a la Primera Vicepresidencia, y Nélida Juliana Cuayla a la segunda vicepresidencia.",andina:1050533,2025-11-30,,,,nombramiento,
Congreso,Ley,"El aspirante presidencial también insistió en la necesidad de modificar la Constitución y acabar con la pugna Congreso - Ejecutivo expresada en vacancias, cuestiones de confianza y cierre de Legislativo.",andina:1072712,2026-04-25,aspirante,,necesidad,conflicto,
Congreso,Ley,"[Lea también: PCM pide rechazar versiones sobre supuesto rompimiento del orden constitucional ] Sobre esto último, indicó que de los 13 proyectos de ley que en el marco de ese plan envió el Poder Ejecutivo al Congreso, solo uno fue aprobado.",andina:920330,2022-12-03,,,,conflicto,
Comercio Exterior y Turismo,Consejo de Ministros,"La norma lleva la rúbrica del presidente de la República, Pedro Castillo Terrones; el presidente del Consejo de Ministros, Aníbal Torres Vásquez; el ministro de Comercio Exterior y Turismo, Roberto Sánchez Palomino; y del ministro de Economía y Finanzas, Oscar Graham.",andina:886978,2022-03-30,norma,,rúbrica,mencion,
Roberto Sánchez,Keiko Fujimori,"Lee también: Ipsos: Fujimori 16.6%, Sanchez 12.1%, Belmont 11.8%, Lopez Aliaga 11%, Nieto 10.7% Para Sánchez, su ubicación expectante a boca de urna es resultado del apoyo de provincias y de forma especial de la parte andina del país.",andina:1071004,2026-04-12,,,,alianza,
Comercio Exterior y Turismo,Cusco,"El Ministerio de Comercio Exterior y Turismo amplió la vigencia de la mesa técnica para reactivar el turismo en la región Cusco, por 30 días calendario, a fin de proponer soluciones que contribuyan a enfrentar los problemas en este importante sector.",andina:902400,2022-07-20,Ministerio,,vigencia,conflicto,
Congreso,Ley,"Lee también: [ Ejecutivo presentó al Congreso proyecto de ley que propone créditos suplementarios ] "" Rechazamos tajantemente cualquier insinuación de que funcionarios diplomáticos se hayan prestado a algún tipo de irregularidad en el proceso electoral.",andina:1079253,2026-06-12,Lee,,Congreso,conflicto,
